Airport,Country
A CORUNA,Spain
AACHEN-MERZBRUECK,Germany
AALBORG,Denmark
AARHUS,Denmark
AASEGARDEN,Norway
ABERDEEN/DYCE,United Kingdom
ADANA,Turkey
ADIYAMAN,Turkey
ADOLFO SUAREZ MADRID-BARAJAS,Spain
AGEN-LA GARENNE,France
AGRI,Turkey
AGRI/AHMED-I HANI,Turkey
AIME CESAIRE/MARTINIQUE,Martinique (France)
AJACCIO-NAPOLEON-BONAPARTE,France
AKUREYRI,Iceland
AL/HALLINGDAL SJUKESTUGU,Norway
ALBACETE,Spain
ALBENGA,Italy
ALBERT-BRAY,France
ALBUSKJELL A,Norway
ALBUSKJELL F,Norway
ALESUND/VIGRA,Norway
ALEXANDROUPOLIS/DIMOKRITOS,Greece
ALGECIRAS (CADIZ),Spain
ALGHERO/FERTILIA,Italy
ALICANTE,Spain
ALMERIA,Spain
ALMIROS/NEA ANCHIALOS,Greece
ALTA,Norway
AMASYA/MERZIFON,Turkey
AMBRI,Switzerland
AMLIKON,Switzerland
AMSTERDAM/SCHIPHOL,Netherlands
ANCONA/FALCONARA,Italy
ANDOYA/ANDENES,Norway
ANGELHOLM,Sweden
ANGERS MARCE,France
ANGOULEME-BRIE-CHAMPNIERS,France
ANKARA/ESENBOGA,Turkey
ANNECY-MEYTHET,France
ANTALYA,Turkey
ANTWERPEN/DEURNE,Belgium
AOSTA,Italy
ARAD,Romania
ARAXOS,Greece
ARE OSTERSUND,Sweden
ARVIDSJAUR,Sweden
ASGARD A,Fictional/Private
ASGARD B,Fictional/Private
ASGARD C,Fictional/Private
ASTURIAS,Spain
ASTYPALAIA,Greece
ATHINAI,Greece
ATHINAI/ELEFTHERIOS VENIZELOS,Greece
AUGSBURG,Germany
AURILLAC,France
AVIGNON-CAUMONT,France
AYDIN/CILDIR,Turkey
BACAU/GEORGE ENESCU,Romania
BAD RAGAZ,Switzerland
BADAJOZ,Spain
BAIA MARE,Romania
BAKKI,Iceland
BALDER,Norway
BALE-MULHOUSE,France
BALIKESIR/KOCA SEYIT,Turkey
BALIKESIR/MERKEZ,Turkey
BARCELONA/EL PRAT,Spain
BARDUFOSS,Norway
BARENTSBURG,Svalbard (Norway)
BARI/PALESE,Italy
BARRA,United Kingdom
BARROW/WALNEY ISLAND,United Kingdom
BASTIA-PORETTA,France
BATMAN,Turkey
BATSFJORD,Norway
BEAUVAIS-TILLE,France
BEJA,Portugal
BELFAST/ALDERGROVE,United Kingdom
BELFAST/CITY,United Kingdom
BELLECHASSE,Switzerland
BEMBRIDGE,United Kingdom
BENBECULA,United Kingdom
BEOGRAD/NIKOLA TESLA,Serbia
BERGAMO/ORIO AL SERIO,Italy
BERGEN/FLESLAND,Norway
BERGEN/GRONNEVIKSOREN,Norway
BERGERAC-ROUMANIERE,France
BERLEVAG,Norway
BERLIN-BRANDENBURG,Germany
BERLIN-TEGEL,Germany
BERLIN/TEMPELHOF,Germany
BERN-BELP,Switzerland
BEX,Switzerland
BEZIERS-VIAS,France
BIARRITZ-PAYS BASQUE,France
BIEL-KAPPELEN,Switzerland
BIGGIN HILL,United Kingdom
BILBAO,Spain
BILDUDALUR,Iceland
BILLUND,Denmark
BINGOL,Turkey
BIRMINGHAM,United Kingdom
BIRRFELD,Switzerland
BJORNOYA,Norway
BLACKPOOL,United Kingdom
BODO,Norway
BOLOGNA/BORGO PANIGALE,Italy
BOLZANO,Italy
BOMOEN,Norway
BORDEAUX-MERIGNAC,France
BORLANGE,Sweden
BORNHOLM/RONNE,Denmark
BOURNEMOUTH,United Kingdom
BRAC,Croatia
BRAGANCA,Portugal
BRAGE,Norway
BRATISLAVA/M.R.STEFANIK,Slovakia
BRAUNSCHWEIG-WOLFSBURG,Germany
BREMEN,Germany
BRESCIA/MONTICHIARI,Italy
BREST-BRETAGNE,France
BRINDISI/CASALE,Italy
BRISTOL,United Kingdom
BRIVE SOUILLAC,France
BRIVE/LA ROCHE,France
BRNO/TURANY,Czech Republic
BRONNOYSUND/BRONNOY,Norway
BRUSSELS,Belgium
BUCURESTI/BANEASA-AUREL VLAICU,Romania
BUCURESTI/HENRI COANDA,Romania
BUDAPEST/LISZT FERENC INTERNATIONAL,Hungary
BUOCHS,Switzerland
BURGAS,Bulgaria
BURGOS,Spain
BURSA/YENISEHIR,Turkey
BUTTWIL,Switzerland
BYDGOSZCZ/BIEDASZKOWO,Poland
BYDGOSZCZ/SZWEDEROWO,Poland
CAEN-CARPIQUET,France
CAGLIARI/ELMAS,Italy
CALVI-SAINTE-CATHERINE,France
CAMBRIDGE,United Kingdom
CAMPBELTOWN,United Kingdom
CANAKKALE,Turkey
CANNES-MANDELIEU,France
CANNES/PALM BEACH,France
CARANSEBES,Romania
CARCASSONNE-SALVAZA,France
CARDIFF,United Kingdom
BILLUND,Denmark
BINGOL,Turkey
BIRMINGHAM,United Kingdom
BIRRFELD,Switzerland
BJORNOYA,Norway
BLACKPOOL,United Kingdom
BODO,Norway
BOLOGNA/BORGO PANIGALE,Italy
BOLZANO,Italy
BOMOEN,Norway
BORDEAUX-MERIGNAC,France
BORLANGE,Sweden
BORNHOLM/RONNE,Denmark
BOURNEMOUTH,United Kingdom
BRAC,Croatia
BRAGANCA,Portugal
BRAGE,Norway
BRATISLAVA/M.R.STEFANIK,Slovakia
BRAUNSCHWEIG-WOLFSBURG,Germany
BREMEN,Germany
