"Airport","Country","Date","Passengers"
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2002-01-01,2293374
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2002-02-01,2345941
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2002-03-01,2812688
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2002-04-01,2839773
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2002-05-01,2871594
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2002-06-01,2866966
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2002-07-01,3217122
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2002-08-01,3221764
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2002-09-01,3140908
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2002-10-01,3006058
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2002-11-01,2542668
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2002-12-01,2537402
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2003-01-01,2460351
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2003-02-01,2443359
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2003-03-01,2756390
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2003-04-01,2907114
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2003-05-01,2873364
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2003-06-01,3037711
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2003-07-01,3411684
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2003-08-01,3468801
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2003-09-01,3287136
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2003-10-01,3192564
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2003-11-01,2828892
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2003-12-01,2700836
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2004-01-01,2629657
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2004-02-01,2807847
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2004-03-01,3073402
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2004-04-01,3127265
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2004-05-01,3182791
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2004-06-01,3357993
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2004-07-01,3638639
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2004-08-01,3699388
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2004-09-01,3419197
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2004-10-01,3380427
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2004-11-01,2954074
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2004-12-01,2904532
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2005-01-01,2837948
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2005-02-01,2852221
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2005-03-01,3440370
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2005-04-01,3343533
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2005-05-01,3524416
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2005-06-01,3548521
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2005-07-01,4053780
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2005-08-01,4014371
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2005-09-01,3831272
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2005-10-01,3693559
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2005-11-01,3270199
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2005-12-01,3195841
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2006-01-01,3091143
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2006-02-01,3066992
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2006-03-01,3549576
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2006-04-01,3840674
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2006-05-01,3844026
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2006-06-01,3914290
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2006-07-01,4197506
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2006-08-01,4228656
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2006-09-01,4096882
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2006-10-01,4086584
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2006-11-01,3654039
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2006-12-01,3613074
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2007-01-01,3470173
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2007-02-01,3514785
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2007-03-01,4243937
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2007-04-01,4312080
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2007-05-01,4310343
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2007-06-01,4492000
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2007-07-01,5013896
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2007-08-01,4869804
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2007-09-01,4675208
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2007-10-01,4694347
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2007-11-01,4196536
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2007-12-01,4005719
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2008-01-01,3823584
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2008-02-01,3943443
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2008-03-01,4526335
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2008-04-01,4312767
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2008-05-01,4485032
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2008-06-01,4472843
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2008-07-01,4874279
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2008-08-01,4736690
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2008-09-01,4210278
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2008-10-01,4048159
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2008-11-01,3558687
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2008-12-01,3527464
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2009-01-01,3108422
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2009-02-01,3273690
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2009-03-01,3856215
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2009-04-01,4214256
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2009-05-01,4046410
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2009-06-01,4228486
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2009-07-01,4796215
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2009-08-01,4674221
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2009-09-01,4218265
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2009-10-01,4184383
