"Airport","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06","2019-07","2019-08","2019-09","2019-10","2019-11","2019-12","2020-01","2020-02","2020-03","2020-04","2020-05","2020-06","2020-07","2020-08","2020-09","2020-10","2020-11","2020-12","2021-01","2021-02","2021-03","2021-04","2021-05","2021-06","2021-07","2021-08","2021-09","2021-10","2021-11","2021-12","2022-01","2022-02","2022-03","2022-04","2022-05","2022-06","2022-07","2022-08","2022-09","2022-10","2022-11","2022-12","2023-01","2023-02","2023-03","2023-04","2023-05","2023-06","2023-07","2023-08","2023-09","Country"
"A CORUNA airport","38921","39004","40870","42298","43498","43847","47062","43929","49189","47796","43496","42138","38320","43080","44641","42581","42942","46308","49022","42592","47565","47687","42880","42616","41060","46657","49161","43715","51410","51780","51965","44053","52871","49281","48203","43526","42437","49533","58940","75897","85323","84862","83845","73883","80278","79273","74815","68436","63839","71007","86903","84250","93453","88650","87045","81985","92606","95038","84941","76826","75725","78970","95173","108384","116880","119021","124829","112259","117872","108755","101705","94904","88272","98125","108621","113685","110834","106648","104302","89366","92042","93041","83896","77966","65865","76455","88492","95744","94423","95145","103281","91872","95092","92073","79500","82573","72011","78174","94389","85586","96394","98350","105124","99929","99305","98502","86186","77226","74323","75879","91234","91131","92407","87399","95937","86324","86222","83148","72533","70947","62817","51576","64362","57165","75748","77991","84225","77190","84287","81337","69346","54010","49501","46972","53026","59749","65059","79724","86385","79179","79742","80565","79620","76779","70000","66089","81434","80080","81271","88491","94901","91463","90791","84940","79663","75622","68769","73721","85923","83578","86219","90085","100028","89594","94305","90730","80599","80892","71927","73012","82023","82219","90760","98083","104221","92574","97439","98452","86732","83850","76416","79158","94408","91982","97543","104781","111300","101413","108868","100621","96398","85205","83511","86504","97620","101422","108111","106760","117014","109318","108918","110621","103772","91138","91123","90945","108737","111766","118841","125556","130044","120112","121598","124761","105981","102736","104776","104943","44469","560","817","2538","27963","39345","34339","30288","19965","26403","19769","15724","23840","25916","37749","51085","72524","79562","74315","74511","58935","60938","46777","52173","66984","77060","85232","67164","88732","95646","98306","99513","92217","93900","82624","86100","105704","105207","107952",":",":",":",":","Spain"
"AACHEN-MERZBRUECK airport",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":","Germany"
"AALBORG airport","50736","47545","52252","56343","61595","62440","44934","59844","66022","59543","55814","44103","24918","23498","25764","23009","27724","28294","19524","27310","29805","30594","26055","22138","44397","46834","56248","48510","56315","64549","45456","58369","64112","57023","58046","47579","47605","47934","53554","56147","59645","65690","49035","61114","68788","62721","60212","49972","46944","49535","62134","50910","67360","75336","57516","67752","80644","82666","72045","66066","69384","59361","82319","65091","84546","94688","83059","91782","92214","91233","93663","77793","78974","79556","83868","85786","97268","100019","83866","94328","101579","92941","78769","67645","63155","67964","82461","82179","97740","105817","98876","106151","110441","111809","101851","88534","87634","93805","116680","75568","121688","127185","119243","124571","127885","125221","109921","93208","95342","97460","114224","104859","122349","125255","125252","121952","129453","125161","115335","101179","97156","99493","114576","98543","109130","117882","108915","113394","126331","121500","107463","86805","92206","91948","91948","109557","124371","131993","126584","129393","142924","132941","112442","94900","96964","96882","119090","107086","126236","131943","125119","127745","132907","126698","100991","85197","93680","94240","102902","110739","124536","138219","132272","131942","141754","136837","112221","97444","103440","104273","119318","117870","136778","136072","140753","131367","146233","143380","113072","100103","110688","105007","123887","112567","128781","133626","128465","129602","149768","148697","118173","103880","112168","112589","128606","129431","139328","144692","148252","144200","160324","148359","117228","95063","103280","103978","121500","114951","131031","134397","127128","127515","142339","137051","107464","91993","96941","98321","46531","1047","3551","16256","46405","56464","51681","44417","23540","25134","15104","14930","20688","27000","39354","57856","84859","93087","110061","116920","100991","79071","58105","71501","99901","115113","135922","134209","123401","132252","140010","136637","102950","89081","92593","88674","109542","107400","130511","128949",":",":",":","Denmark"
"AARHUS airport","43765","42342","50938","52747","55739","55203","39356","50459","53391","52991","46174","36013","36687","37959","43176","47766","55179","52972","45305","55206","57508","59099","46074","39044","38673","39598","46291","43259","46294","46176","35777","44228","50061","50066","43724","38054","37646","37003","43201","47719","48581","50168","40714","41807","51446","51666","45839","38817","32687","37767","47449","48734","53451","50537","44672","48470","53978","53320","44155","34554","39455","36780","50327","47601","53819","53272","49063","52425","54243","55710","41921","34657","39021","41102","47693","53644","52287","54924","48367","52570","54196","53964","40357","32418","35052","34663","42832","43986","48274","48103","47867","50635","51678","50050","37314","32608","34590","35045","44390","34672","53330","56920","53077","53614","57714","60190","40171","33779","37774","36024","50782","54002","58194","57540","54821","53491","57294","54558","40081","32998","34140","34134","42535","46373","43853","43351","41132","35914","46469","49452","34112","12656","25892","28722","35740","43580","45514","47500","40521","38119","43414","47446","31351","24113","26610","26921","33275","35123","39279","43923","38073","37622","42594","41139","30252","23797","25212","25299","31551","30661","34099","35172","25810","27423","36443","33739","31640","25144","27144","28109","31465","35026","36437","38002","25214","27104","38169","36206","31963","25495","25887","23900","31494","29491","35626","35451","26449","26143","38173","36154","34495","26165","28103","27567","32855","41349","46660","47191","38121","42194","52629","51059","42381","33426","33971","36230","41980","40420","48337","48440","39516","40338","50066","48447","38633","32183","34660","33059","13920","0","0","1732","6435","8436","9254","6541","2768","2323","709","0","0","606","1378","3278","15320","18342","21143","28141","23717","20373","13896","18992","27690","33968","38706","38882","46412","45487","48209","46225","31122","28411","30340","31823","37507","47093","52154","55347",":",":",":","Denmark"
"AASEGARDEN airport",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":","Norway"
"ABERDEEN/DYCE airport",":",":",":",":",":",":",":",":",":",":",":",":","173659","176778","193968","205440","216761","223607","242044","224500","233192","233205","195117","189607","171016","176266","209975","218417","217877","234798","254373","240093","242776","244826","216798","206593","185376","188666","226273","231435","241417","256585","274208","256932","266043","261252","235946","227651","214400","209599","251490","254502","272526","284635","291999","278415","279746","298325","277500","249454","241652","234335","276996","274306","299800","305586","323705","314658","309737","317435","270074","242818","229995","241799","260071","279767","294646","298571","314337","297558","297179","300654","239299","236352","210965","202662","239932","248395","254336","270904","287449","268282","281932","275718","229060","214123","182237","193676","229341","184463","229271","260422","275890","258005","266833","262308","225102","195933","198895","203259","249414","245687","255977","284960","298887","274232","296294","281299","260653","233018","225851","240491","273259","272049","294845","289051","311128","298832","300589","313880","269168","239390","225146","236502","263121","280056","303087","310584","330554","308372","317238","323931","283826","257711","247255","251954","286456","307229","323688","340213","363432","336828","340239","352884","295811","279143","249165","250294","281553","298196","297483","320838","343252","319289","321566","300884","246916","240984","205432","210915","236318","234486","247478","261215","281070","279752","270027","269266","222714","227228","203983","208324","243658","248392","270283","286764","296943","289102","280601","280466","246501","235255","217889","214025","242486","254237","276578","276391","291362","283635","268107","280241","233702","217342","204347","196653","224705","239815","270058","268317","280120","267638","261763","269315","217174","212838","198248","193002","114926","32964","33330","42525","59338","66112","71159","70223",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":","United Kingdom"
"ADANA airport","50757","54896","58675","52013","63031","63604","87286","99727","78860","71531","5456",":","30096","64189","50190","49916","60336","64222","90295","97774","83568","74964","53896","67009","85032","78839","74827","88220","88516","92114","114232","126896","115771","91391","93247","98398","121066","107429","119220","130400","148757","155669","165484","180681","159820","131289","142410","146727","177444","146056","152259","173235","185535","195492","228812","236526","199084","165542","169042","187720","197910","171469","172112","190788","190896","199667","212847","227609","193513","188919","173512","183293","180239","170794","171319","192636","202204","195425","217708","224157","175041","193067","171631","196206","185506","178838","184003","198761","201565","207070","232443","229343","211867","217920","205348","229738","228257","213498","223644","228169","232597","230176","258226","252475","243405","232747","253828","244148","245575","250801","249364","259164","271905","276060","303757","270826","277509","272199","290779","273028","305431","307670","307041","298481","303004","323023","337786","339244","328724","313192","303278","297283","330146","326459","338965","356009","362503","374041","369758","401808","385869","376846","344938","348436","386120","361547","358630","376209","379769","403683","386090","438730","400210","398456","383712","414338","429524","381913","394903","435706","441687","426870","470807","522430","468298","450880","436012","450676","461248","435412","442511","463562","482843","437141","480604","516822","491806","476402","450477","446874","444504","407729","450840","463185","461771","430706","512016","503465","497962","489446","473431","475266","504498","440780","495094","517438","464406","444529","491253","487279","473749","452400","428522","430903","448655","393244","430653","442820","396325","426463","423558","428925","421361","427667","417280","400943","416249","381758","255276","1691","1236","114261","239744","276525","232957","237297","205667","144760","161303","185096","230621","185806","147864","302686","406287","411450","361764","359638","339408","307609","280704","273524","303759","277282","358996","346637","373840","365326","336137","331938","313110","313429",":",":",":",":",":",":",":",":",":","Turkey"
"ADIYAMAN airport",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":","1029","867","965","914","2293","4953","5590","4309","4788","4454","3590","3917","3537","4094","3582","3671","4312","4157","4159","4060","3470","4110","4782","4687","4733","5694","6102","6643","7498","8231","8675","9835","7264","8328","6303","6974","6578","6363","5832","6761","7295","7234","7520","7231","7323","7076","7096","8803","9563","9215","10166","9190","9138","8861","9688","9476","9317","8750","7365","7778","8597","8189","8186","8090","8323","3555",":",":",":",":",":","406","6605","8250","8491","9145","8241","8534","8687","9214","9159","8562","7794","7840","7058","7302","7842","9191","10535","9975","9141","9371","8678","10196","14422","14413","14660","13245","14383","15748","14320","13270","12429","12181","10733","11864","12490","13945","12838","12359","12863","14050","17998","18389","17655","16675","16806","17720","17141","17136","17390","19106","19783","23256","22164","20675","20961","21105","21517","22218","18461","18120","17031","17953","18757","19650","21517","20482","23171","24116","24516","23719","25543","23334","27012","23358","24482","26550","25527","24188","22716","22020","23350","20514","20246","21073","21487","17323","20685","20400","18611","22099","21732","21910","20871","19667","19810","19994","21227","18707","15558","479","100","8703","12087","10485","9366","9537","9277","8275","8307","8754","9211","8048","6187","10210","12824","14608","11477","14797","14406","13710","11146","14570","13525","11001","14922","16020","19024","18917","17863","15791","14806","14838",":",":",":",":",":",":",":",":",":","Turkey"
"ADOLFO SUAREZ MADRID-BARAJAS airport","2293374","2345941","2812688","2839773","2871594","2866966","3217122","3221764","3140908","3006058","2542668","2537402","2460351","2443359","2756390","2907114","2873364","3037711","3411684","3468801","3287136","3192564","2828892","2700836","2629657","2807847","3073402","3127265","3182791","3357993","3638639","3699388","3419197","3380427","2954074","2904532","2837948","2852221","3440370","3343533","3524416","3548521","4053780","4014371","3831272","3693559","3270199","3195841","3091143","3066992","3549576","3840674","3844026","3914290","4197506","4228656","4096882","4086584","3654039","3613074","3470173","3514785","4243937","4312080","4310343","4492000","5013896","4869804","4675208","4694347","4196536","4005719","3823584","3943443","4526335","4312767","4485032","4472843","4874279","4736690","4210278","4048159","3558687","3527464","3108422","3273690","3856215","4214256","4046410","4228486","4796215","4674221","4218265","4184383","3664017","3702761","3449620","3427157","4116523","3961172","4283875","4452166","4912549","4823882","4455368","4457092","3865337","3593399","3559914","3388276","4032634","4282200","4205702","4380488","4889307","4766935","4508602","4298445","3625460","3616415","3334481","3137593","3679390","3865688","3960094","4156119","4526781","4299308","4079469","3863264","3144854","3066009","2903053","2629914","3166095","3244108","3402382","3534381","3875131","3797268","3611107","3485121","2978108","3040447","2862432","2669879","3219638","3487605","3541097","3713741","4058967","3986641","3874545","3760778","3255220","3338771","3142500","2992959","3653551","3800235","3994120","4135708","4591121","4545923","4327330","4267560","3675599","3644435","3511210","3458351","3983113","3932727","4288346","4409131","4900507","4786871","4606485","4510714","3938280","4030289","3839038","3577706","4190657","4485043","4520643","4742539","5083579","4946747","4804149","4720561","4186361","4246574","4124962","3913097","4574128","4797147","4953442","5073468","5527575","5382999","5199428","5183443","4532818","4562149","4379265","4142299","4898764","5044328","5212331","5562409","5937071","5782549","5564750","5480992","4774844","4872419","4659005","4392979","1969922","36179","76829","189431","988932","1355274","984613","735922","697420","987741","844789","752708","970713","986106","1268117","1701419","2554499","2967996","2839431","3060319","3106030","3070719","2689043","2876877","3557730","4041330","4323394","4537653","5020286","4981082","4787309","4808064","4449852","4543338","4432089","4172793","4820345","4869614","5050748",":",":",":",":","Spain"
"AGEN-LA GARENNE airport","2052","2126","2861","2586","2457","3613","2676","1552","3550","3937","3151","3189","2805","3192","3248","3226","2354","3423","2753","1617","2770","2862","2455","2710",":",":",":",":",":",":",":",":",":",":",":",":","667","961","1136","1356","1876","1666","944","921","1537","1450","1371","1334","1445","1382","1780","2092","2224","2673","1658","1052","2161","2203","2439","1915",":",":",":",":",":",":",":",":",":",":",":",":","1741","1992","2363","2202","1759","2593","1943","210","2334","2320","2114","1763","1586","1905","2247","2635","2457","3173","2388","152","3017","3153","3055","2157","1770","2180","3093","2542","3239","3649","2503","248","3357","2942","3201","2023","2836","2786","3445","3015","3659","3395","2692","407","3288","3354","3473","2525","2689","2582","3466","2879","3170","3566","2792","675","3132","3440","3236","2168","2519","2764","2934","3380","3171","3841","3221","1118","3462","4009","3511","2689","3185","2995","3548","3814","3149","4039","3422","1191","4300","4061","3748","2789","3250","2888","3941","3291","3085","4221","3765","679","4013","3721","3386","2786","3264","3122","3715","3595","3635","4115","3583","384","3914","3858","3847","2950","3583","3590","4438","3380","3862","4465","2879","399","2781","3271","2742","1973","2513","1947","2926","3583","3092","3174","2844","614","2645","3306","2569","2139","1275","965","1432","1200","1240","1651","1457","352","1409","1600","1421","899","1038","729","375","6","10","16","9","5","21","6","170","6",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":","France"
